Accession,module,tissue_origin,kME_module,multiple_tissues,transcript,gene_symbol,entrez_ID,numb_tissues
510320.Chordc1,black,islet,0.881802602,NO,,Chordc1,510320,1
502582.Mkks,black,islet,0.837463512,NO,,Mkks,502582,1
500034.Zfp180,black,islet,0.826944741,NO,,Zfp180,500034,1
10002899579.Trappc13,black,islet,0.820373796,NO,,Trappc13,10002899579,1
10002897412.Ppp4r3a,black,islet,0.814761943,NO,,Ppp4r3a,10002897412,1
502476.Taf12,black,islet,0.812774301,NO,,Taf12,502476,1
513442.Vezt,black,islet,0.807670402,NO,,Vezt,513442,1
10002915555.Gm42526,black,islet,0.802045092,NO,,Gm42526,10002915555,1
498152.Hsph1,black,islet,0.79716041,NO,,Hsph1,498152,1
504682.Ubr5,black,islet,0.79507908,NO,,Ubr5,504682,1
515956.Rabep1,black,islet,0.795055988,NO,,Rabep1,515956,1
506404.Uba6,black,islet,0.794472359,NO,,Uba6,506404,1
10002911065.Bmpr2,black,islet,0.791982364,NO,,Bmpr2,10002911065,1
508943.Herpud2,black,islet,0.790894343,NO,,Herpud2,508943,1
519912.Iars,black,islet,0.789796297,NO,,Iars,519912,1
10002906716.Eif5,black,islet,0.788577884,NO,,Eif5,10002906716,1
505333.Pias2,black,islet,0.787775364,NO,,Pias2,505333,1
512443.Zfp24,black,islet,0.778959743,NO,,Zfp24,512443,1
10004036089.Slc25a38,black,islet,0.777192072,NO,,Slc25a38,10004036089,1
10004037893.Mettl4-ps1,black,islet,0.777172784,NO,,Mettl4-ps1,10004037893,1
508240.Prpf38b,black,islet,0.772320704,NO,,Prpf38b,508240,1
514904.Vti1a,black,islet,0.770036594,NO,,Vti1a,514904,1
10002904912.Tra2a,black,islet,0.769466774,NO,,Tra2a,10002904912,1
10002901675.Tpd52l2,black,islet,0.766214069,NO,,Tpd52l2,10002901675,1
1009049.Agfg1,black,islet,0.764178128,NO,,Agfg1,1009049,1
502257.Fpgt,black,islet,0.762260338,NO,,Fpgt,502257,1
504054.Zfp119a,black,islet,0.760110621,NO,,Zfp119a,504054,1
10004037756.Golph3l,black,islet,0.757980515,NO,,Golph3l,10004037756,1
505899.Zkscan3,black,islet,0.755832184,NO,,Zkscan3,505899,1
511270.Gm37338,black,islet,0.755754954,NO,,Gm37338,511270,1
507306.Fam161a,black,islet,0.755752094,NO,,Fam161a,507306,1
10002909180.Washc4,black,islet,0.751002636,NO,,Washc4,10002909180,1
10002913448.Mmaa,black,islet,0.750315784,NO,,Mmaa,10002913448,1
10002678659.Rad51c,black,islet,0.749526466,NO,,Rad51c,10002678659,1
499610.Eif4ebp1,black,islet,0.749353867,NO,,Eif4ebp1,499610,1
498335.Slc1a4,black,islet,0.748809046,NO,,Slc1a4,498335,1
10004034240.Kif1b,black,islet,0.74835381,NO,,Kif1b,10004034240,1
10002904400.Rbm12b1,black,islet,0.747429863,NO,,Rbm12b1,10002904400,1
499873.Nars,black,islet,0.746635508,NO,,Nars,499873,1
10002918207.Vpreb1,black,islet,0.746525647,NO,,Vpreb1,10002918207,1
10004038198.Zfp758,black,islet,0.74388284,NO,,Zfp758,10004038198,1
501079.Ccar1,black,islet,0.739837208,NO,,Ccar1,501079,1
501373.Gm37338,black,islet,0.739168712,NO,,Gm37338,501373,1
10002906216.Gpt2,black,islet,0.738705122,NO,,Gpt2,10002906216,1
513797.Get1,black,islet,0.738613224,NO,,Get1,513797,1
10002896182.Gm10179,black,islet,0.738427307,NO,,Gm10179,10002896182,1
10002914721.Prmt2,black,islet,0.735662486,NO,,Prmt2,10002914721,1
10002903021.Fam161b,black,islet,0.734696176,NO,,Fam161b,10002903021,1
10002916331.Dcun1d2,black,islet,0.734032267,NO,,Dcun1d2,10002916331,1
10002919197.Rcor1,black,islet,0.733978936,NO,,Rcor1,10002919197,1
10002908208.Gm44036,black,islet,0.73367044,NO,,Gm44036,10002908208,1
10003841170.Gm7709,black,islet,0.733538185,NO,,Gm7709,10003841170,1
10002937011.Mrps6,black,islet,0.733198651,NO,,Mrps6,10002937011,1
10003114265.Uvrag,black,islet,0.732603234,NO,,Uvrag,10003114265,1
10004036988.Smad2,black,islet,0.732142325,NO,,Smad2,10004036988,1
10004036091.Eif4ebp1,black,islet,0.730534136,NO,,Eif4ebp1,10004036091,1
501904.Abhd13,black,islet,0.729539081,NO,,Abhd13,501904,1
10003844258.Phf20l1,black,islet,0.728929789,NO,,Phf20l1,10003844258,1
10002902832.Snx16,black,islet,0.728660256,NO,,Snx16,10002902832,1
10004037514.Mettl4,black,islet,0.728151793,NO,,Mettl4,10004037514,1
10002678816.Rbm4,black,islet,0.726926203,NO,,Rbm4,10002678816,1
10003116578.Fzd3,black,islet,0.72552713,NO,,Fzd3,10003116578,1
10002902274.Ldlrad4,black,islet,0.721493148,NO,,Ldlrad4,10002902274,1
503599.Mthfd2,black,islet,0.719831906,NO,,Mthfd2,503599,1
10002914598.Fgfr2,black,islet,0.718143975,NO,,Fgfr2,10002914598,1
10004036178.Rab39,black,islet,0.715887753,NO,,Rab39,10004036178,1
10002911837.Ints13,black,islet,0.714068487,NO,,Ints13,10002911837,1
505711.Rif1,black,islet,0.713742395,NO,,Rif1,505711,1
510943.Rad1,black,islet,0.712233602,NO,,Rad1,510943,1
514798.Rbm22,black,islet,0.71161762,NO,,Rbm22,514798,1
10003838577.BB123696,black,islet,0.710019972,NO,,BB123696,10003838577,1
10002918089.Stip1,black,islet,0.709737745,NO,,Stip1,10002918089,1
10003836945.Gm12799,black,islet,0.709117317,NO,,Gm12799,10003836945,1
10004033389.Crem,black,islet,0.70879881,NO,,Crem,10004033389,1
517099.Rbm14,black,islet,0.708474014,NO,,Rbm14,517099,1
510297.Srsf10,black,islet,0.707116182,NO,,Srsf10,510297,1
10004034364.Bola1,black,islet,0.706667659,NO,,Bola1,10004034364,1
10002908366.Gm13313,black,islet,0.706361404,NO,,Gm13313,10002908366,1
505438.Hnrnpm,black,islet,0.705145795,NO,,Hnrnpm,505438,1
515657.Naa16,black,islet,0.704506767,NO,,Naa16,515657,1
10002915585.Snx6,black,islet,0.704002321,NO,,Snx6,10002915585,1
511442.Snrnp48,black,islet,0.703956978,NO,,Snrnp48,511442,1
506977.Mrps25,black,islet,0.703781486,NO,,Mrps25,506977,1
591781.Edem1,black,islet,0.7015477,NO,,Edem1,591781,1
10002910370.Kifbp,black,islet,0.69976052,NO,,Kifbp,10002910370,1
10002903634.Ipo7,black,islet,0.697437375,NO,,Ipo7,10002903634,1
514197.Mta3,black,islet,0.69724676,NO,,Mta3,514197,1
10002901093.Mplkip,black,islet,0.696372469,NO,,Mplkip,10002901093,1
519315.Cmc2,black,islet,0.693358742,NO,,Cmc2,519315,1
